evals, mean, best, worst, success num
1, 3.633248087178556, 2.8876769172258836, 3.9999999999999996, 0
2, 3.633248087178556, 2.8876769172258836, 3.9999999999999996, 0
3, 3.5565388902067667, 3.239632153160939, 3.873803784748433, 0
4, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
5, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
6, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
7, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
8, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
9, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
10, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
11, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
12, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
13, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
14, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
15, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
16, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
17, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
18, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
19, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
20, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
21, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
22, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
23, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
24, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
25, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
26, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
27, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
28, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
29, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
30, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
31, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
32, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
33, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
34, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
35, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
36, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
37, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
38, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
39, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
40, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
41, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
42, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
43, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
44, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
45, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
46, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
47, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
48, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
49, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
50, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
51, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
52, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
53, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
54, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
55, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
56, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
57, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
58, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
59, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
60, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
61, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
62, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
63, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
64, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
65, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
66, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
67, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
68, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
69, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
70, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
71, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
72, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
73, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
74, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
75, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
76, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
77, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
78, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
79, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
80, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
81, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
82, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
83, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
84, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
85, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
86, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
87, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
88, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
89, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
90, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
91, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
92, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
93, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
94, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
95, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
96, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
97, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
98, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
99, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
100, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
101, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
102, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
103, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
104, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
105, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
106, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
107, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
108, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
109, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
110, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
111, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
112, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
113, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
114, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
115, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
116, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
117, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
118, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
119, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
120, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
121, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
122, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
123, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
124, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
125, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
126, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
127, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
128, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
129, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
130, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
131, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
132, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
133, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
134, 2.3554665141074183, 0.7233285608150672, 3.9999999999999996, 0
