evals, mean, best, worst, success num
1, 3.5691064339524905, 3.452066609460201, 3.6664133353335866, 0
2, 1.0295836134215097, 0.008143684655765624, 3.9999999999999996, 3
3, 1.0295836134215097, 0.008143684655765624, 3.9999999999999996, 3
4, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
5, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
6, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
7, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
8, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
9, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
10, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
11, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
12, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
13, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
14, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
15, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
16, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
17, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
18, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
19, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
20, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
21, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
22, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
23, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
24, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
25, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
26, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
27, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
28, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
29, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
30, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
31, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
32, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
33, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
34, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
35, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
36, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
37, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
38, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
39, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
40, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
41, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
42, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
43, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
44, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
45, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
46, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
47, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
48, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
49, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
50, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
51, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
52, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
53, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
54, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
55, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
56, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
57, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
58, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
59, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
60, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
61, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
62, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
63, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
64, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
65, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
66, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
67, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
68, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
69, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
70, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
71, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
72, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
73, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
74, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
75, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
76, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
77, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
78, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
79, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
80, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
81, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
82, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
83, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
84, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
85, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
86, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
87, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
88, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
89, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
90, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
91, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
92, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
93, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
94, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
95, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
96, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
97, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
98, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
99, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
100, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
101, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
102, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
103, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
104, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
105, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
106, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
107, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
108, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
109, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
110, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
111, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
112, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
113, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
114, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
115, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
116, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
117, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
118, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
119, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
120, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
121, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
122, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
123, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
124, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
125, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
126, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
127, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
128, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
129, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
130, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
131, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
132, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
133, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
134, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
135, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
136, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
137, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
138, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
139, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
140, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
141, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
142, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
143, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
144, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
145, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
146, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
147, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
148, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
149, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
150, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
151, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
152, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
153, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
154, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
155, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
156, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
157, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
158, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
159, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
160, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
161, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
162, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
163, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
164, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
165, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
166, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
167, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
168, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
169, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
170, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
171, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
172, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
173, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
174, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
175, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
176, 1.0145729491154953, 0.014542402374694825, 3.9999999999999996, 3
