evals, mean, best, worst, success num
1, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
2, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
3, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
4, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
5, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
6, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
7, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
8, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
9, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
10, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
11, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
12, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
13, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
14, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
15, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
16, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
17, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
18, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
19, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
20, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
21, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
22, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
23, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
24, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
25, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
26, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
27, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
28, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
29, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
30, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
31, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
32, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
33, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
34, 0.1254743547826294, 0.1100208413935693, 0.1700314611997047, 0
