evals, mean, best, worst, success num
67, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
68, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
69, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
70, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
71, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
72, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
73, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
74, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
75, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
76, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
77, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
78, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
79, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
80, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
81, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
82, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
83, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
84, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
85, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
86, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
87, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
88, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
89, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
90, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
91, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
92, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
93, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
94, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
95, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
96, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
97, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
98, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
99, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
100, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
101, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
102, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
103, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
104, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
105, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
106, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
107, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
108, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
109, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
110, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
111, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
112, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
113, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
114, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
115, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
116, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
117, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
118, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
119, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
120, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
121, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
122, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
123, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
124, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
125, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
126, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
127, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
128, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
129, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
130, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
131, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
132, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
133, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
134, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
135, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
136, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
137, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
138, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
139, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
140, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
141, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
142, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
143, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
144, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
145, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
146, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
147, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
148, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
149, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
150, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
151, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
152, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
153, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
154, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
155, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
156, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
157, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
158, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
159, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
160, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
161, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
162, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
163, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
164, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
165, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
166, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
167, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
168, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
169, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
170, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
171, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
172, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
173, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
174, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
175, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
176, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
177, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
178, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
179, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
180, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
181, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
182, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
183, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
184, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
185, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
186, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
187, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
188, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
189, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
190, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
191, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
192, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
193, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
194, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
195, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
196, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
197, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
198, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
199, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
200, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
201, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
202, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
203, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
204, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
205, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
206, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
207, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
208, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
209, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
210, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
211, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
212, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
213, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
214, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
215, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
216, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
217, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
218, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
219, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
220, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
221, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
222, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
223, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
224, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
225, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
226, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
227, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
228, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
229, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
230, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
231, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
232, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
233, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
234, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
235, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
236, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
237, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
238, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
239, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
240, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
241, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
242, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
243, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
244, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
245, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
246, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
247, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
248, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
249, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
250, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
251, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
252, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
253, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
254, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
255, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
256, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
257, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
258, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
259, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
260, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
261, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
262, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
263, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
264, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
265, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
266, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
267, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
268, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
269, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
270, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
271, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
272, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
273, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
274, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
275, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
276, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
277, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
278, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
279, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
280, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
281, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
282, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
283, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
284, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
285, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
286, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
287, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
288, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
289, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
290, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
291, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
292, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
293, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
294, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
295, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
296, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
297, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
298, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
299, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
300, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
301, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
302, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
303, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
304, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
305, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
306, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
307, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
308, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
309, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
310, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
311, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
312, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
313, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
314, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
315, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
316, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
317, 0.0030636528732097407, 0.002941944092603392, 0.0031640545176494415, 4
318, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
319, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
320, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
321, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
322, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
323, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
324, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
325, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
326, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
327, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
328, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
329, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
330, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
331, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
332, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
333, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
334, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
335, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
336, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
337, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
338, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
339, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
340, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
341, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
342, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
343, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
344, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
345, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
346, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
347, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
348, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
349, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
350, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
351, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
352, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
353, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
354, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
355, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
356, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
357, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
358, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
359, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
360, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
361, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
362, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
363, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
364, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
365, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
366, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
367, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
368, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
369, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
370, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
371, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
372, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
373, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
374, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
375, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
376, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
377, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
378, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
379, 0.0029448539429944615, 0.002272536467816808, 0.004000465252021408, 4
